id,artist_name,key,mode,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,hit,year,explicit,sentimentPos,sentimentNeg,sentimentComp,sentimentNeu,pos_neg_diff
4KoecuyOpZaNFZ0UqVsllc,Uncle Kracker,5.0,1.0,Follow Me,73,0.439,0.8170000000000001,218440.0,0.585,0.0,0.147,-4.688,0.0301,105.014,0.9159999999999999,1,2000,0.0,0.252,0.162,0.6908,0.586,0.09
2SLZ2rX5773RS16mcqBxG7,112,4.0,0.0,Peaches & Cream,66,0.00277,0.677,193093.0,0.52,0.0,0.0532,-6.255,0.33399999999999996,203.862,0.768,1,2001,1.0,0.222,0.05,0.9779,0.728,0.172
7nnWIPM5hwE3DaUBkvOIpy,Incubus,4.0,0.0,Drive,76,0.0562,0.645,232453.0,0.792,0.0121,0.11900000000000001,-7.34,0.036000000000000004,90.565,0.6659999999999999,1,1999,0.0,0.084,0.254,-0.8298,0.663,-0.16999999999999998
1tJkic0TURTCXw3rBhYgWu,City High,7.0,1.0,What Would You Do?,57,0.259,0.733,175560.0,0.794,0.0,0.483,-6.909,0.223,95.87700000000001,0.8320000000000001,1,2001,1.0,0.068,0.098,-0.3326,0.834,-0.03
2Mpj1Ul5OFPyyP4wB62Rvi,Destiny's Child,1.0,0.0,Survivor,72,0.0559,0.514,254027.0,0.9109999999999999,0.0,0.775,-2.0269999999999997,0.41,161.109,0.619,1,2001,0.0,0.076,0.283,-0.9846,0.64,-0.20699999999999996
0I3q5fE6wg7LIfHGngUTnV,Outkast,4.0,0.0,Ms. Jackson,84,0.14300000000000002,0.843,270507.0,0.8059999999999999,0.0,0.0771,-5.946000000000001,0.26899999999999996,94.948,0.613,1,2000,1.0,0.138,0.186,-0.8334,0.676,-0.04799999999999999
1fgvJXlcZ7uIddMpqsqw0L,Jennifer Lopez,4.0,0.0,Love Don't Cost a Thing,69,0.00305,0.7859999999999999,221227.0,0.8420000000000001,3.54e-06,0.473,-5.115,0.0707,97.57700000000001,0.685,1,2001,0.0,0.113,0.138,-0.6072,0.749,-0.02500000000000001
6vgN6KGstss0GnBbKlMNK9,Faith Hill,2.0,1.0,The Way You Love Me,59,0.127,0.627,186067.0,0.716,0.0,0.0344,-7.175,0.0352,101.99,0.7340000000000001,1,1999,0.0,0.543,0.032,0.9902,0.425,0.511
4BggEwLhGfrbrl7JBhC8EC,Crazy Town,9.0,0.0,Butterfly,74,0.00132,0.736,216733.0,0.8109999999999999,0.00014199999999999998,0.107,-4.17,0.081,103.50200000000001,0.609,1,1999,1.0,0.182,0.096,0.9382,0.722,0.086
0OvwzS8FX73Bw7ykMRmffU,Ja Rule,1.0,0.0,Put It On Me,66,0.0024,0.831,262827.0,0.79,0.0,0.0515,-4.7139999999999995,0.165,93.14,0.7909999999999999,1,2000,1.0,0.15,0.243,-0.9038,0.607,-0.093
3aw9iWUQ3VrPQltgwvN9Xu,Mary J. Blige,8.0,0.0,Family Affair,76,0.132,0.9109999999999999,265867.0,0.551,4.1200000000000005e-05,0.0863,-3.75,0.0449,92.887,0.9690000000000001,1,2001,1.0,0.161,0.077,0.8481,0.762,0.084
